ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
83,NBC-arch1-83,NBC-arch1,THUNDERBAY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
84,NBC-arch1-84,NBC-arch1,TIMMINS,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
85,NBC-arch1-85,NBC-arch1,Toronto,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
86,NBC-arch1-86,NBC-arch1,TORONTOMETRESSTN,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
87,NBC-arch1-87,NBC-arch1,TRENTON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
88,NBC-arch1-88,NBC-arch1,WIARTON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
89,NBC-arch1-89,NBC-arch1,WINDSOR,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
90,NBC-arch1-90,NBC-arch1,CHARLOTTETOWN,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
91,NBC-arch1-91,NBC-arch1,SUMMERSIDE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
92,NBC-arch1-92,NBC-arch1,BAGOTVILLE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
93,NBC-arch1-93,NBC-arch1,BAIECOMEAU,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
94,NBC-arch1-94,NBC-arch1,KUUJJUAQ,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
95,NBC-arch1-95,NBC-arch1,KUUJJUARAPIK,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
96,NBC-arch1-96,NBC-arch1,LAGRANDERIVIERE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
97,NBC-arch1-97,NBC-arch1,MONTJOLI,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
98,NBC-arch1-98,NBC-arch1,Montreal,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
99,NBC-arch1-99,NBC-arch1,MONTREALMIRABEL,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
100,NBC-arch1-100,NBC-arch1,Quebec,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
101,NBC-arch1-101,NBC-arch1,SCHEFFERVILLE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
102,NBC-arch1-102,NBC-arch1,SEPTILES,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
103,NBC-arch1-103,NBC-arch1,SHERBROOKE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
104,NBC-arch1-104,NBC-arch1,STEAGATHEDESMONTS,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
105,NBC-arch1-105,NBC-arch1,STHUBERT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
