ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
164,RR-SmallSFD-164,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_R16FDN_R30_under,NA,CeilR40,HG-avg-Triple,HPHotWater,none,CCASHP-ecm,HRV_70
165,RR-SmallSFD-165,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_BaseFDN_R11_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,DWHR-eff-42,basefurnace,HRV_84
166,RR-SmallSFD-166,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_XPS_R-30,STEP_BaseFDN_R20_under,NA,CeilR60,MG-i89-Double,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_84
167,RR-SmallSFD-167,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR80,HG-avg-Triple,HPHotWater,none,gas-furnace-ecm,HRV_84
168,RR-SmallSFD-168,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_BaseFDN_R20_under,NA,CeilR40,MG-HP-Double,HPHotWater,none,CCASHP-ecm,HRV_70
169,RR-SmallSFD-169,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_R16,STEP_R25FDN_R11_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_75
170,RR-SmallSFD-170,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R11_under,NA,CeilR40,LG-avg-Double,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_70
171,RR-SmallSFD-171,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,NA
172,RR-SmallSFD-172,SmallSFD,Vancouver,ACH_2_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,basefurnace,HRV_75
173,RR-SmallSFD-173,SmallSFD,Vancouver,ACH_3_5,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R20_under,NA,CeilR40,HG-avg-Triple,HPHotWater,DWHR-eff-42,CCASHP-ecm,HRV_75
174,RR-SmallSFD-174,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R20_under,NA,CeilR70,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,basefurnace,HRV_60
175,RR-SmallSFD-175,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_BaseFDN_R20_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,basefurnace,HRV_60
176,RR-SmallSFD-176,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R11_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-55,basefurnace,HRV_84
177,RR-SmallSFD-177,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_EPS_R-40,STEP_R20FDN_R11_under,NA,CeilR100,LG-avg-Double,HPHotWater,DWHR-eff-42,CCASHP-ecm,NA
178,RR-SmallSFD-178,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_BaseFDN_R20_under,NA,CeilR40,LG-avg-Double,HPHotWater,DWHR-eff-42,CCASHP-ecm,HRV_84
179,RR-SmallSFD-179,SmallSFD,Vancouver,ACH_2_5,Stud_2x6_XPS_R-22,STEP_R20FDN_R20_under,NA,CeilR70,HG-avg-Triple,HPHotWater,none,CCASHP-ecm,HRV_70
