Scenario,ID,Opt-ACH,Opt-GenericWall_1Layer_definitions,Opt-H2KFoundation,Opt-ExposedFloor,Opt-Ceilings,Opt-CasementWindows,Opt-DHWSystem,Opt-DWHRSystem,Opt-HVACSystem,Opt-HRVSpec,Opt-H2K-PV
Rerun,4682,ACH_3_5, Stud_2x6_R18, STEP_R20FDN_R11_under,NA, CeilR50, MG-i89-Double, GasInstantaneous, DWHR-eff-55,basefurnace, HRV_60, MonoSi-5kW
Rerun,4683,ACH_3_5, Stud_2x6_EPS_R-40, STEP_R16FDN_R20_under,NA, CeilR60,LG-avg-Double,BaseDHW, DWHR-eff-55,gas-furnace-ecm, HRV_60, MonoSi-5kW
Rerun,4684, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R20FDN_R11_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater,none,basefurnace,NA,NA
Rerun,4685,ACH_3_5, Stud_2x6_R18, STEP_R25FDN_R0_under,NA, CeilR50, MG-i89-Double, GasInstantaneous,none,basefurnace, HRV_84, MonoSi-5kW
Rerun,4686, ACH_0_6, Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double,BaseDHW,none,basefurnace,NA, MonoSi-10kW
Rerun,4687, ACH_2_5, Stud_2x6_R18, STEP_R25FDN_R0_under,NA, CeilR50,LG-avg-Double, ElectricStorage,  DWHR-eff-42, ComboHeatA, HRV_70, MonoSi-5kW
Rerun,4688, ACH_0_6, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double, GasInstantaneous, DWHR-eff-30, ComboHeatA, HRV_60, MonoSi-5kW
Rerun,4689,ACH_3_5,Stud_2x6_R16, STEP_R16FDN_R20_under,NA, CeilR100, MG-HP-Double,BaseDHW, DWHR-eff-30,gas-furnace-ecm, HRV_60, MonoSi-8kW
Rerun,4690, ACH_2_5,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA,CeilR40, HG-i89-Triple-B,BaseDHW,none,gas-furnace-ecm, HRV_84, MonoSi-5kW
Rerun,4691, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R16FDN_R0_under,NA, CeilR70, HG-i89-Triple-B, HPHotWater,none,basefurnace,NA,NA
Rerun,4692,ACH_3_5, Stud_2x6_R18, STEP_R16FDN_R20_under,NA, CeilR70,LG-avg-Double, HPHotWater,  DWHR-eff-42,basefurnace, HRV_84, MonoSi-5kW
Rerun,4693, ACH_1_0,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA, CeilR100, LG-avg-Triple, GasInst_Low,none,basefurnace, HRV_60, MonoSi-5kW
Rerun,4694, ACH_1_5,Stud_2x6_R16, STEP_R25FDN_R20_under,NA, CeilR60, HG-avg-Triple, HPHotWater,none, CCASHP-ecm, HRV_84,NA
Rerun,4695, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA, CeilR50,LG-avg-Double,BaseDHW, DWHR-eff-30,basefurnace, HRV_70, MonoSi-5kW
Rerun,4696,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R20FDN_R20_under,NA, CeilR50, HG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_75,NA
Rerun,4697, ACH_1_0,Stud_2x6_R16, STEP_BaseFDN_R11_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_60,NA
Rerun,4698, ACH_1_0,Stud_2x6_R16, STEP_BaseFDN_R20_under,NA, CeilR50,LG-avg-Double, GasInstantaneous,none,basefurnace,NA, MonoSi-10kW
Rerun,4699, ACH_1_5, Stud_2x6_R18, STEP_R16FDN_R0_under,NA, CeilR100,LG-avg-Double,BaseDHW,none,basefurnace, HRV_60, MonoSi-10kW
Rerun,4700,ACH_3_5,Stud_2x6_R16, STEP_R20FDN_R20_under,NA, CeilR100, MG-HP-Double, GasInstantaneous,none,gas-furnace-ecm, HRV_60, MonoSi-5kW
Rerun,4701,ACH_3_5,Stud_2x6_R16, STEP_R20FDN_R15_under,NA, CeilR50, HG-i89-Triple-B,BaseDHW,none,basefurnace, HRV_75, MonoSi-5kW
Rerun,4702, ACH_2_5, Stud_2x6_XPS_R-22, STEP_R16FDN_R15_under,NA,CeilR40,LG-avg-Double, GasInst_Low,none,gas-furnace-ecm,NA, MonoSi-8kW
Rerun,4703,ACH_3_5,Stud_2x6_R16, STEP_R20FDN_R0_under,NA, CeilR50, HG-avg-Triple,BaseDHW,none,basefurnace,NA, MonoSi-10kW
Rerun,4704, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR100,LG-avg-Double,BaseDHW, DWHR-eff-30,gas-furnace-ecm, HRV_84, MonoSi-5kW
